State,No. Blocks with Rapid Molecular Diagnostics
Andaman & Nicobar Islands,4
Andhra Pradesh,206
Arunachal Pradesh,12
Assam,33
Bihar,60
Chandigarh,3
Chhattisgarh,33
Dadra & Nagar Haveli,1
Daman & Diu,2
Delhi,27
Goa,2
Gujarat,58
Haryana,29
Himachal Pradesh,21
Jammu & Kashmir,17
Jharkhand,38
Karnataka,68
Kerala,20
Ladakh,2
Lakshadweep,1
Madhya Pradesh,66
Maharashtra,119
Manipur,9
Meghalaya,7
Mizoram,8
Nagaland,9
Odisha,49
Puducherry,2
Punjab,27
Rajasthan,66
Sikkim,5
Tamil Nadu,69
Telangana,38
Tripura,5
Uttar Pradesh,151
Uttarakhand,14
West Bengal,79
