State,Old Age Homes
Andhra Pradesh,68
Arunachal Pradesh,1
Assam,18
Bihar,4
Chhattisgarh,3
Goa,0
Gujarat,4
Haryana,7
Himachal Pradesh,1
Jammu & Kashmir,0
Jharkhand,0
Karnataka,56
Kerala,9
Madhya Pradesh,7
Maharashtra,34
Manipur,19
Meghalaya,0
Mizoram,0
Nagaland,1
Odisha,41
Punjab,7
Sikkim,0
Rajasthan,6
Tamil Nadu,56
Telangana,22
Tripura,4
Uttar Pradesh,22
Uttarakhand,3
West Bengal,30
A & N Island,0
Chandigarh,0
Dadra & Nagar Haveli,0
Daman & Diu,0
Delhi,2
Lakshadweep,0
Puducherry,3
